group,id,course,semester,grade
1,31,Art and Expression in a Post-Apocalyptic World,2,12.5
1,31,Art and Expression in a Post-Apocalyptic World,2,10
1,31,Art and Expression in a Post-Apocalyptic World,2,10.5
1,31,Art and Expression in a Post-Apocalyptic World,2,15.5
1,31,Art and Expression in a Post-Apocalyptic World,2,10.5
1,31,Art and Expression in a Post-Apocalyptic World,2,13.5
1,31,Art and Expression in a Post-Apocalyptic World,2,15
1,31,Art and Expression in a Post-Apocalyptic World,2,14
1,31,Art and Expression in a Post-Apocalyptic World,2,7.5
1,31,Combat Tactics and Self-Defense,2,2
1,31,Combat Tactics and Self-Defense,2,10.5
1,31,Combat Tactics and Self-Defense,2,11
1,31,Community Building and Social Organization,2,10.1
1,31,Community Building and Social Organization,2,8.8
1,31,Community Building and Social Organization,2,12.7
1,31,Community Building and Social Organization,2,13.1
1,31,Community Building and Social Organization,2,10.1
1,31,Community Building and Social Organization,2,10.6
1,31,Community Building and Social Organization,2,10.3
1,31,Mechanical Engineering and Vehicle Repair,1,10
1,31,Mechanical Engineering and Vehicle Repair,1,10
1,31,Moral Philosophy and Ethical Decision-Making,1,11.5
1,31,Moral Philosophy and Ethical Decision-Making,1,11.5
1,31,Moral Philosophy and Ethical Decision-Making,1,9.5
1,31,Moral Philosophy and Ethical Decision-Making,1,9.5
1,31,Moral Philosophy and Ethical Decision-Making,1,9
1,31,Moral Philosophy and Ethical Decision-Making,1,8
1,31,Moral Philosophy and Ethical Decision-Making,1,9.5
1,31,Post-Apocalyptic History and Archaeology,2,11.5
1,31,Post-Apocalyptic History and Archaeology,2,9.5
1,31,Post-Apocalyptic History and Archaeology,2,7
1,31,Radiation Ecology and Environmental Science,1,17
1,31,Radiation Ecology and Environmental Science,1,9
1,31,Radiation Ecology and Environmental Science,1,13.5
1,31,Radiation Ecology and Environmental Science,1,13
1,31,Radiation Ecology and Environmental Science,1,16.5
1,31,Radiation Ecology and Environmental Science,1,12.5
1,31,Radiation Ecology and Environmental Science,1,14
1,31,Radiation Ecology and Environmental Science,1,11.5
1,31,Radiation Ecology and Environmental Science,1,11.5
1,31,Radiation Ecology and Environmental Science,1,11.5
1,31,Renewable Energy and Sustainable Living,2,8
1,31,Renewable Energy and Sustainable Living,2,6
1,31,Renewable Energy and Sustainable Living,2,8
1,31,Renewable Energy and Sustainable Living,2,12
1,31,Renewable Energy and Sustainable Living,2,8
1,31,Renewable Energy and Sustainable Living,2,9
1,31,Scavenging and Resource Management,1,10
1,31,Scavenging and Resource Management,1,7.75
1,31,Scavenging and Resource Management,1,7
1,31,Scavenging and Resource Management,1,10.75
1,31,Scavenging and Resource Management,1,11
1,31,Scavenging and Resource Management,1,7.75
1,31,Scavenging and Resource Management,1,8.25
1,31,Scavenging and Resource Management,1,7.25
1,31,Survival Skills and Wilderness Medicine,1,11
1,31,Survival Skills and Wilderness Medicine,1,12.5
1,31,Survival Skills and Wilderness Medicine,1,10
1,31,Survival Skills and Wilderness Medicine,1,12.5
1,31,Survival Skills and Wilderness Medicine,1,11.5
1,31,Survival Skills and Wilderness Medicine,1,11.5
1,41,Art and Expression in a Post-Apocalyptic World,2,16
1,41,Art and Expression in a Post-Apocalyptic World,2,10
1,41,Art and Expression in a Post-Apocalyptic World,2,18
1,41,Art and Expression in a Post-Apocalyptic World,2,13.5
1,41,Art and Expression in a Post-Apocalyptic World,2,18.5
1,41,Art and Expression in a Post-Apocalyptic World,2,13.5
1,41,Art and Expression in a Post-Apocalyptic World,2,13
1,41,Art and Expression in a Post-Apocalyptic World,2,15
1,41,Art and Expression in a Post-Apocalyptic World,2,9.5
1,41,Art and Expression in a Post-Apocalyptic World,2,12.5
1,41,Combat Tactics and Self-Defense,2,12.5
